id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,,SCHOOL NAME,math_score,MATHSCORE,history_score,HISTORY SCORE,physics_score,PHYSIC SCORE SCALE,chemistry_score,CHEMISTRY SCORE,biology_score,BIO SCORE,english_score,ENGLISH SCORE,geography_score,GEOGRAPHY SCORE,QUESTION 1,QUESTION 2,QUESTION 3
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,FALSE,4,FALSE,30,Designer,,BrightHope college,70,C,68,D,92,A,74,C,82,B,85,B,72,C,,,
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,FALSE,4,FALSE,30,Accountant,,BrightHope college,77,C,96,A,98,A,89,B,85,B,62,D,62,D,,,
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,FALSE,1,FALSE,24,Banker,,BrightHope college,99,A,84,B,84,B,78,C,78,C,77,C,68,D,,,
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,FALSE,3,TRUE,31,Unknown,,BrightHope college,90,A,93,A,91,A,80,B,86,B,69,D,62,D,,,
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,FALSE,1,FALSE,21,Unknown,,BrightHope college,65,D,70,C,78,C,98,A,80,B,66,D,65,D,,,
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,FALSE,2,TRUE,19,Construction Engineer,,BrightHope college,99,A,94,A,87,B,71,C,89,B,91,A,96,A,,,
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,FALSE,1,FALSE,29,Construction Engineer,,BrightHope college,92,A,100,A,85,B,89,B,81,B,91,A,88,B,,,
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,FALSE,4,FALSE,21,Banker,,BrightHope college,77,C,64,D,64,D,88,B,94,A,82,B,78,C,,,
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,FALSE,4,FALSE,18,Accountant,,BrightHope college,92,A,60,D,66,D,87,B,60,D,83,B,95,A,,,
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,FALSE,4,FALSE,31,Software Engineer,,BrightHope college,85,B,97,A,64,D,90,A,79,C,81,B,81,B,,,
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,TRUE,7,FALSE,4,Business Owner,,BrightHope college,65,D,55,D,66,D,50,D,88,B,56,D,86,B,,,
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,TRUE,6,FALSE,3,Business Owner,,BrightHope college,93,A,94,A,92,A,77,C,87,B,98,A,63,D,,,
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,FALSE,4,FALSE,3,Game Developer,,BrightHope college,97,A,99,A,85,B,96,A,91,A,68,D,66,D,,,
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,TRUE,4,FALSE,3,Business Owner,,BrightHope college,54,D,99,A,79,C,57,D,53,D,95,A,83,B,,,
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,TRUE,5,TRUE,5,Business Owner,,BrightHope college,88,B,53,D,50,D,58,D,84,B,53,D,96,A,,,
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,FALSE,5,TRUE,27,Lawyer,,BrightHope college,71,C,85,B,93,A,68,D,100,A,91,A,87,B,,,
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,FALSE,0,TRUE,28,Stock Investor,,BrightHope college,81,B,98,A,74,C,70,C,97,A,65,D,65,D,,,
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,FALSE,4,FALSE,32,Unknown,,BrightHope college,80,B,78,C,86,B,80,B,64,D,68,D,100,A,,,
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,FALSE,0,FALSE,14,Accountant,,BrightHope college,100,A,89,B,90,A,93,A,30,F,83,B,74,C,,,
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,FALSE,6,TRUE,16,Stock Investor,,BrightHope college,76,C,72,C,96,A,65,D,89,B,87,B,94,A,,,
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,FALSE,2,FALSE,24,Lawyer,,BrightHope college,99,A,81,B,73,C,70,C,85,B,86,B,61,D,,,
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,FALSE,9,FALSE,0,Business Owner,,BrightHope college,64,D,70,C,61,D,81,B,82,B,51,D,70,C,,,
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,FALSE,3,FALSE,32,Banker,,BrightHope college,90,A,96,A,86,B,61,D,89,B,98,A,68,D,,,
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,FALSE,2,FALSE,3,Game Developer,,BrightHope college,85,B,100,A,92,A,68,D,60,D,77,C,83,B,,,
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,FALSE,6,FALSE,31,Software Engineer,,BrightHope college,91,A,60,D,84,B,88,B,76,C,71,C,99,A,,,
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,FALSE,3,FALSE,21,Unknown,,BrightHope college,95,A,72,C,79,C,86,B,87,B,81,B,62,D,,,
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,TRUE,2,FALSE,18,Banker,,BrightHope college,94,A,78,C,73,C,97,A,67,D,78,C,99,A,,,
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,FALSE,7,FALSE,26,Software Engineer,,BrightHope college,94,A,89,B,64,D,96,A,91,A,95,A,77,C,,,
60,Casey,May,casey.may.60@gslingacademy.com,male,FALSE,4,FALSE,23,Software Engineer,,BrightHope college,89,B,99,A,90,A,79,C,85,B,96,A,98,A,,,
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,FALSE,2,FALSE,1,Game Developer,,BrightHope college,91,A,81,B,88,B,71,C,78,C,83,B,76,C,,,
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,FALSE,5,FALSE,33,Lawyer,,BrightHope college,83,B,86,B,61,D,99,A,99,A,88,B,73,C,,,
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,FALSE,7,FALSE,2,Business Owner,,BrightHope college,98,A,65,D,53,D,64,D,52,D,96,A,62,D,,,
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,FALSE,1,FALSE,34,Banker,,BrightHope college,83,B,97,A,65,D,88,B,67,D,95,A,69,D,,,
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,FALSE,2,FALSE,18,Construction Engineer,,BrightHope college,91,A,73,C,99,A,70,C,63,D,80,B,78,C,,,
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,TRUE,6,FALSE,2,Business Owner,,BrightHope college,90,A,54,D,77,C,74,C,76,C,96,A,88,B,,,
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,FALSE,3,FALSE,27,Software Engineer,,BrightHope college,92,A,86,B,66,D,69,D,100,A,71,C,80,B,,,
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,FALSE,2,FALSE,8,Real Estate Developer,,BrightHope college,64,D,64,D,73,C,76,C,72,C,97,A,91,A,,,
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,FALSE,4,FALSE,14,Software Engineer,,BrightHope college,90,A,70,C,85,B,60,D,81,B,71,C,88,B,,,
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,FALSE,10,TRUE,22,Banker,,BrightHope college,99,A,81,B,96,A,69,D,91,A,87,B,83,B,,,
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,FALSE,1,FALSE,15,Designer,,BrightHope college,89,B,66,D,93,A,81,B,86,B,88,B,70,C,,,
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,TRUE,3,FALSE,22,Writer,,BrightHope college,62,D,87,B,93,A,83,B,93,A,97,A,73,C,,,
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,TRUE,10,FALSE,1,Business Owner,,BrightHope college,61,D,70,C,69,D,64,D,59,D,78,C,80,B,,,
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,TRUE,8,FALSE,3,Business Owner,,BrightHope college,51,D,54,D,66,D,87,B,99,A,58,D,68,D,,,
75,Anna,Li,anna.li.75@gslingacademy.com,female,FALSE,2,FALSE,20,Software Engineer,,BrightHope college,85,B,100,A,64,D,68,D,73,C,81,B,87,B,,,
76,Andrea,Case,andrea.case.76@gslingacademy.com,female,FALSE,7,TRUE,27,Software Engineer,,BrightHope college,99,A,90,A,96,A,92,A,100,A,98,A,77,C,,,
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,FALSE,3,FALSE,24,Software Engineer,,BrightHope college,87,B,63,D,60,D,90,A,89,B,99,A,80,B,,,
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,FALSE,1,TRUE,5,Unknown,,BrightHope college,75,C,91,A,80,B,93,A,74,C,93,A,65,D,,,
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,FALSE,7,FALSE,34,Unknown,,BrightHope college,88,B,94,A,80,B,63,D,68,D,77,C,64,D,,,
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,FALSE,3,FALSE,16,Software Engineer,,BrightHope college,87,B,79,C,89,B,68,D,93,A,75,C,92,A,,,
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,TRUE,3,FALSE,3,Business Owner,,BrightHope college,87,B,67,D,94,A,92,A,62,D,58,D,65,D,,,
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,FALSE,1,FALSE,15,Stock Investor,,BrightHope college,76,C,67,D,83,B,85,B,91,A,61,D,67,D,,,
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,FALSE,7,FALSE,11,Government Officer,,BrightHope college,60,D,80,B,61,D,63,D,95,A,92,A,75,C,,,
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,FALSE,7,FALSE,32,Scientist,,BrightHope college,85,B,65,D,99,A,100,A,88,B,93,A,72,C,,,
85,James,Dawson,james.dawson.85@gslingacademy.com,male,FALSE,3,FALSE,28,Unknown,,BrightHope college,73,C,67,D,70,C,71,C,65,D,73,C,87,B,,,
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,FALSE,1,FALSE,24,Software Engineer,,BrightHope college,85,B,71,C,69,D,80,B,70,C,77,C,66,D,,,
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,FALSE,2,FALSE,9,Government Officer,,BrightHope college,91,A,76,C,71,C,72,C,92,A,67,D,90,A,,,
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,FALSE,3,TRUE,14,Software Engineer,,BrightHope college,99,A,95,A,83,B,89,B,81,B,63,D,70,C,,,
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,FALSE,3,FALSE,16,Stock Investor,,BrightHope college,93,A,96,A,68,D,87,B,69,D,89,B,100,A,,,
90,William,Brown,william.brown.90@gslingacademy.com,male,FALSE,3,FALSE,29,Software Engineer,,BrightHope college,89,B,75,C,60,D,80,B,62,D,85,B,73,C,,,
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,FALSE,0,FALSE,14,Accountant,,BrightHope college,95,A,78,C,95,A,73,C,32,F,65,D,68,D,,,
92,James,Santiago,james.santiago.92@gslingacademy.com,male,FALSE,4,FALSE,10,Government Officer,,BrightHope college,68,D,82,B,95,A,63,D,62,D,98,A,93,A,,,
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,FALSE,5,FALSE,31,Software Engineer,,BrightHope college,98,A,73,C,73,C,77,C,87,B,98,A,83,B,,,
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,FALSE,4,FALSE,34,Stock Investor,,BrightHope college,79,C,92,A,79,C,76,C,84,B,67,D,86,B,,,
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,FALSE,5,FALSE,3,Unknown,,BrightHope college,78,C,79,C,73,C,96,A,64,D,93,A,85,B,,,
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,FALSE,2,TRUE,34,Software Engineer,,BrightHope college,100,A,98,A,89,B,85,B,81,B,64,D,94,A,,,
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,FALSE,3,TRUE,2,Artist,,BrightHope college,86,B,76,C,84,B,93,A,76,C,69,D,91,A,,,
98,Thomas,White,thomas.white.98@gslingacademy.com,male,FALSE,3,FALSE,4,Real Estate Developer,,BrightHope college,87,B,89,B,93,A,98,A,79,C,72,C,88,B,,,
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,TRUE,0,FALSE,28,Lawyer,,BrightHope college,100,A,93,A,85,B,61,D,96,A,83,B,86,B,,,
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,FALSE,0,FALSE,5,Game Developer,,BrightHope college,85,B,89,B,94,A,69,D,99,A,93,A,98,A,,,
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,FALSE,2,FALSE,4,Artist,,BrightHope college,87,B,73,C,98,A,91,A,79,C,60,D,77,C,,,
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,FALSE,2,FALSE,25,Software Engineer,,BrightHope college,96,A,80,B,100,A,61,D,81,B,98,A,65,D,,,
103,James,Yang,james.yang.103@gslingacademy.com,male,FALSE,5,FALSE,29,Writer,,BrightHope college,76,C,87,B,64,D,74,C,73,C,90,A,99,A,,,
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,TRUE,6,FALSE,1,Artist,,BrightHope college,90,A,80,B,63,D,94,A,64,D,70,C,79,C,,,
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,FALSE,7,FALSE,2,Business Owner,,BrightHope college,65,D,60,D,100,A,91,A,87,B,78,C,99,A,,,
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,FALSE,2,FALSE,0,Real Estate Developer,,BrightHope college,98,A,97,A,62,D,89,B,62,D,95,A,77,C,,,
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,FALSE,3,FALSE,16,Accountant,,BrightHope college,91,A,80,B,97,A,89,B,94,A,95,A,84,B,,,
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,FALSE,3,TRUE,31,Scientist,,BrightHope college,86,B,81,B,83,B,81,B,81,B,77,C,86,B,,,
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,FALSE,1,FALSE,4,Unknown,,BrightHope college,91,A,93,A,72,C,61,D,61,D,87,B,95,A,,,
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,FALSE,5,TRUE,13,Accountant,,BrightHope college,78,C,69,D,82,B,60,D,64,D,77,C,82,B,,,
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,FALSE,4,FALSE,24,Stock Investor,,BrightHope college,76,C,89,B,89,B,83,B,89,B,90,A,64,D,,,
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,TRUE,9,FALSE,2,Business Owner,,BrightHope college,82,B,54,D,85,B,57,D,50,D,54,D,76,C,,,
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,TRUE,2,TRUE,4,Business Owner,,BrightHope college,45,NOSCORE,85,B,94,A,76,C,57,D,93,A,86,B,,,
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,FALSE,1,FALSE,22,Banker,,BrightHope college,92,A,75,C,65,D,97,A,61,D,76,C,81,B,,,
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,FALSE,6,TRUE,0,Business Owner,,BrightHope college,43,NOSCORE,65,D,91,A,75,C,64,D,94,A,100,A,,,
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,FALSE,2,FALSE,24,Unknown,,BrightHope college,96,A,66,D,69,D,65,D,72,C,84,B,77,C,,,
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,FALSE,6,FALSE,1,Business Owner,,BrightHope college,78,C,71,C,50,D,55,D,54,D,97,A,95,A,,,
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,FALSE,1,FALSE,19,Unknown,,BrightHope college,68,D,96,A,64,D,70,C,74,C,63,D,75,C,,,
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,FALSE,1,TRUE,19,Software Engineer,,BrightHope college,93,A,73,C,94,A,65,D,60,D,63,D,93,A,,,
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,FALSE,6,FALSE,5,Business Owner,,BrightHope college,55,D,93,A,67,D,74,C,55,D,60,D,64,D,,,
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,TRUE,0,FALSE,13,Teacher,,BrightHope college,66,D,90,A,83,B,80,B,76,C,90,A,91,A,,,
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,FALSE,4,FALSE,26,Doctor,,BrightHope college,98,A,92,A,91,A,99,A,97,A,88,B,75,C,,,
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,FALSE,4,FALSE,41,Doctor,,BrightHope college,94,A,94,A,94,A,89,B,85,B,86,B,85,B,,,
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,FALSE,3,FALSE,47,Doctor,,BrightHope college,96,A,100,A,96,A,91,A,91,A,96,A,89,B,,,
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,FALSE,2,FALSE,9,Unknown,,BrightHope college,69,D,62,D,82,B,89,B,81,B,72,C,71,C,,,
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,FALSE,4,FALSE,7,Unknown,,BrightHope college,77,C,95,A,98,A,69,D,60,D,89,B,71,C,,,
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,FALSE,1,FALSE,3,Game Developer,,BrightHope college,89,B,67,D,86,B,87,B,87,B,68,D,78,C,,,
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,FALSE,4,TRUE,14,Accountant,,BrightHope college,96,A,67,D,80,B,83,B,86,B,77,C,75,C,,,
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,FALSE,4,FALSE,26,Unknown,,BrightHope college,82,B,70,C,80,B,70,C,96,A,69,D,86,B,,,
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,FALSE,6,TRUE,27,Unknown,,BrightHope college,99,A,97,A,64,D,90,A,87,B,68,D,69,D,,,
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,TRUE,5,FALSE,25,Stock Investor,,BrightHope college,96,A,73,C,90,A,85,B,63,D,84,B,87,B,,,
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,TRUE,4,FALSE,16,Banker,,BrightHope college,95,A,82,B,66,D,63,D,67,D,92,A,69,D,,,
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,FALSE,4,FALSE,27,Software Engineer,,BrightHope college,90,A,63,D,69,D,80,B,99,A,69,D,79,C,,,
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,TRUE,6,FALSE,0,Business Owner,,BrightHope college,88,B,52,D,53,D,56,D,85,B,93,A,78,C,,,
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,FALSE,1,FALSE,3,Designer,,BrightHope college,87,B,62,D,87,B,96,A,85,B,90,A,74,C,,,
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,FALSE,2,FALSE,6,Designer,,BrightHope college,62,D,83,B,84,B,75,C,83,B,85,B,86,B,,,
137,David,Patel,david.patel.137@gslingacademy.com,male,FALSE,2,FALSE,12,Banker,,BrightHope college,85,B,65,D,60,D,78,C,81,B,96,A,76,C,,,
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,FALSE,1,TRUE,11,Banker,,BrightHope college,79,C,97,A,76,C,67,D,61,D,90,A,95,A,,,
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,FALSE,4,FALSE,23,Software Engineer,,BrightHope college,90,A,94,A,98,A,96,A,68,D,82,B,81,B,,,
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,FALSE,2,FALSE,23,Doctor,,BrightHope college,97,A,71,C,82,B,80,B,97,A,93,A,78,C,,,
141,James,Singh,james.singh.141@gslingacademy.com,male,FALSE,0,FALSE,16,Software Engineer,,BrightHope college,88,B,69,D,87,B,81,B,77,C,67,D,93,A,,,
142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,TRUE,2,TRUE,3,Artist,,BrightHope college,71,C,85,B,77,C,89,B,98,A,63,D,100,A,,,
143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,FALSE,1,FALSE,29,Lawyer,,BrightHope college,70,C,99,A,79,C,96,A,60,D,97,A,100,A,,,
144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,FALSE,3,TRUE,18,Software Engineer,,BrightHope college,93,A,68,D,76,C,99,A,80,B,80,B,75,C,,,
145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,FALSE,0,FALSE,3,Game Developer,,BrightHope college,92,A,79,C,81,B,61,D,86,B,72,C,88,B,,,
146,Victor,Jones,victor.jones.146@gslingacademy.com,male,FALSE,3,FALSE,6,Real Estate Developer,,BrightHope college,83,B,72,C,68,D,94,A,100,A,98,A,92,A,,,
147,Mark,Young,mark.young.147@gslingacademy.com,male,FALSE,8,FALSE,2,Business Owner,,BrightHope college,68,D,97,A,51,D,93,A,68,D,58,D,78,C,,,
148,Matthew,Jackson,matthew.jackson.148@gslingacademy.com,male,FALSE,0,FALSE,34,Lawyer,,BrightHope college,92,A,90,A,65,D,79,C,96,A,87,B,74,C,,,
